# t [sec],r_ecef_X,r_ecef_Y,r_ecef_Z,v_ecef_X,v_ecef_Y,v_ecef_Z,q_e2b_scalar,q_e2b_i,q_e2b_j,q_e2b_k,accel_X [m/s^2],accel_Y [m/s^2],accel_Z [m/s^2],gyro_X [rad/s],gyro_Y [rad/s],gyro_Z [rad/s],gps_lat [deg],gps_long [deg],gps_alt [m]
0.0,1526838.6327670775,-4462986.241606824,4278788.890921753,0.0,0.0,0.0,0.901797015,-0.39979036,-0.066508461,-0.150021455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08601387499993507,1526838.6327670775,-4462986.241606824,4278788.890921753,0.0013376025263379387,-0.0019120102902066005,-0.0011154381228489774,0.9017896121440685,-0.3998106761158342,-0.06645376255375439,-0.15003605130782532,0.009999999999999953,0.0,9.818563300000001,0.00039269908169872405,-0.0014398966328953218,0.001265363707695889,nan,nan,nan
0.168580916999872,1526838.6328799601,-4462986.241768182,4278788.8908276195,0.003284430251462328,-0.005103134793201125,-0.003282598485095045,0.9018047820138352,-0.399793919572694,-0.06639037741011866,-0.1500175834819657,0.009999999999999953,-0.010000000000000009,9.818563300000001,-0.000698131700797732,-0.0014398966328953218,0.00017453292519943288,nan,nan,nan
0.25474391699981425,1526838.633162877,-4462986.24220776,4278788.890544861,0.003970135689613241,-0.0075475939889798616,-0.004181222536195017,0.9018022893133054,-0.39980196744317736,-0.0664362468995324,-0.14999081129354333,-5.551115123125783e-17,0.010000000000000009,9.818563300000001,0.00039269908169872405,0.0007417649320975901,-0.000916297857297023,nan,nan,nan
0.3395249589998457,1526838.6334997686,-4462986.242848222,4278788.890190057,0.005501397217963444,-0.009682961649009059,-0.005087232025305588,0.901817541579634,-0.3997851152913747,-0.06637251334656465,-0.14997224183005495,0.009999999999999953,0.010000000000000009,9.818563300000001,-0.000698131700797732,-0.0014398966328953218,0.00017453292519943288,nan,nan,nan
0.41505916699998124,1526838.633972791,-4462986.243680785,4278788.889752646,0.006688087876434462,-0.013766674304198312,-0.007879666097736826,0.9018103830768168,-0.3997359791748909,-0.0665006431708511,-0.1500894564669487,-5.551115123125783e-17,-0.020000000000000018,9.818563300000001,-0.000698131700797732,0.004014257279586958,0.001265363707695889,nan,nan,nan
0.4954611670000304,1526838.6345105988,-4462986.244787802,4278788.88911902,0.005024012527565264,-0.01610081096103866,-0.01034458422093687,0.9018299523022404,-0.39967021427295424,-0.06649523396116905,-0.15014939683776254,-0.030000000000000027,0.0,9.7985633,-0.001788962483294188,0.0007417649320975901,0.001265363707695889,nan,nan,nan
0.5703664170000593,1526838.6348861514,-4462986.245991361,4278788.888345746,0.00561413760668486,-0.01746423438433231,-0.01255778324268092,0.9018148464062823,-0.3996975661431703,-0.0664126172876937,-0.15020387226094628,-5.551115123125783e-17,0.0,9.7985633,0.00039269908169872405,-0.0014398966328953218,0.002356194490192345,nan,nan,nan
0.6463072920000741,1526838.6353134033,-4462986.24732044,4278788.887390063,0.006505974251090146,-0.019960095291548963,-0.013804916020909663,0.9018257652871162,-0.39967622968694483,-0.06639288530044124,-0.15020381428500135,-5.551115123125783e-17,0.0,9.818563300000001,-0.000698131700797732,-0.00034906585039886593,0.00017453292519943288,nan,nan,nan
0.7204681250000249,1526838.635796263,-4462986.248801837,4278788.886365491,0.007853966496114112,-0.021567476471537117,-0.016539115948361827,0.9018195244524243,-0.3997067724269259,-0.06629053199581908,-0.15020521734250528,0.009999999999999953,-0.010000000000000009,9.7985633,0.00039269908169872405,-0.002530727415391778,0.001265363707695889,nan,nan,nan
