# t [sec],r_ecef_X,r_ecef_Y,r_ecef_Z,v_ecef_X,v_ecef_Y,v_ecef_Z,q_e2b_scalar,q_e2b_i,q_e2b_j,q_e2b_k,accel_X [m/s^2],accel_Y [m/s^2],accel_Z [m/s^2],gyro_X [rad/s],gyro_Y [rad/s],gyro_Z [rad/s],gps_lat [deg],gps_long [deg],gps_alt [m]
3.137928954,1525318.951,-4462451.606,4279868.591,0.667828812,-0.720190568,0.081477476,0.87332715,-0.437367875,-0.147238741,-0.155980078,-0.864583333,0.88875,9.9985633,0.032343133,0.015871588,0.014453508,nan,nan,nan
3.316816697,1525318.555,-4462451.07,4279868.543,0.229592136,-0.163657342,0.365971233,0.881388193,-0.422932855,-0.144193453,-0.153267417,-1.274583333,1.12875,9.8185633,0.020343994,-0.001581705,0.016635169,42.41636,-71.128965,12.3
3.389606147,1525318.573,-4462451.083,4279868.572,0.237148104,-0.142661841,0.386254982,0.881064677,-0.423524819,-0.144043474,-0.153633465,-1.214583333,1.14875,9.6785633,0.01488984,-0.000490874,0.013362677,nan,nan,nan
3.46193899,1525318.59,-4462451.093,4279868.6,0.287202672,-0.13545569,0.398253524,0.881152307,-0.423437345,-0.143578705,-0.153806967,-0.724583333,0.89875,9.9685633,-0.005835945,-0.00921752,0.008999354,nan,nan,nan
3.538788658,1525318.612,-4462451.103,4279868.63,0.312057448,-0.133865671,0.423236348,0.881032813,-0.423831629,-0.143111675,-0.153840763,-1.104583333,1.02875,9.9785633,0.008344855,-0.011399182,0.007908523,nan,nan,nan
3.610277075,1525318.634,-4462451.113,4279868.661,0.333063828,-0.12028579,0.434502682,0.880916722,-0.423807796,-0.1431949,-0.154492401,-1.034583333,1.00875,9.7485633,-0.001472622,0.010417434,0.015544339,nan,nan,nan
3.698046407,1525318.66,-4462451.122,4279868.694,0.381631186,-0.106806762,0.445758868,0.881111378,-0.423438659,-0.142742965,-0.154812426,-0.744583333,0.93875,9.8785633,-0.01347176,-0.005945028,0.010090185,nan,nan,nan
3.770678488,1525318.692,-4462451.131,4279868.731,0.433777537,-0.097513713,0.441708654,0.881242872,-0.422908293,-0.142974416,-0.155299368,-0.734583333,0.73875,9.8085633,-0.01347176,0.011508265,0.005726862,nan,nan,nan
3.843499312,1525318.723,-4462451.138,4279868.763,0.48642166,-0.105077259,0.438452174,0.881328597,-0.422654349,-0.143105828,-0.155383164,-0.744583333,0.58875,9.9985633,-0.006926775,0.00496328,-0.000818123,nan,nan,nan
3.918688752,1525318.76,-4462451.146,4279868.796,0.549177692,-0.114890625,0.426256048,0.881398393,-0.422747315,-0.142836713,-0.154981463,-0.644583333,0.45875,9.9885633,0.001799871,-0.011399182,-0.006272277,nan,nan,nan
3.990627485,1525318.799,-4462451.154,4279868.827,0.607332653,-0.125557462,0.426089442,0.881377147,-0.423096423,-0.142500736,-0.154458027,-0.684583333,0.57875,10.0885633,0.009435686,-0.015762505,-0.007363108,nan,nan,nan
4.064513601,1525318.844,-4462451.164,4279868.858,0.638796706,-0.121399063,0.416029232,0.880988315,-0.424136107,-0.14256691,-0.153762246,-0.924583333,0.65875,9.7185633,0.032343133,-0.00921752,-0.011726431,nan,nan,nan
4.443465898,1525318.34,-4462451.143,4279868.546,0.026974475,-0.345139679,0.166027985,0.880277385,-0.436063396,-0.117303855,-0.145603042,-0.684583333,0.91875,9.9585633,0.002563452,-0.003654283,0.0035452,42.41636,-71.128968,12.3
4.514731407,1525318.342,-4462451.17,4279868.559,0.069278905,-0.36803556,0.169536601,0.88056566,-0.435694316,-0.117755754,-0.144596557,-0.404583333,0.76875,10.1485633,-0.006926775,-0.000490874,-0.030270554,nan,nan,nan
4.899347194,1525318.368,-4462451.308,4279868.623,0.120232044,-0.466954681,0.151356975,0.881317043,-0.436471433,-0.117602625,-0.137632052,-0.770583333,0.76875,9.9315633,0.006163194,-0.017944166,-0.032452216,nan,nan,nan
4.968518117,1525318.377,-4462451.345,4279868.635,0.090937972,-0.439600862,0.155462511,0.881747355,-0.435708684,-0.118086082,-0.136876666,-0.984583333,1.28875,9.3785633,-0.017835083,0.003872449,-0.025907231,nan,nan,nan
5.044934469,1525318.384,-4462451.378,4279868.646,0.105893642,-0.458681344,0.158606688,0.882468365,-0.435332179,-0.116752199,-0.134552603,-0.664583333,0.83875,9.9985633,-0.014562591,-0.058304905,-0.042269693,nan,nan,nan
5.729387597,1525314.354,-4462452.139,4279868.972,-5.703624124,-1.671984028,0.810515051,0.899607027,-0.4326666,0.030088894,-0.05100459,-0.721583333,0.77775,9.8965633,-0.002345286,-0.009872019,-0.014126259,42.416365,-71.129018,12.3
5.805708494,1525313.832,-4462452.292,4279869.046,-5.994680732,-1.790214001,0.894744189,0.899747257,-0.432786836,0.026538216,-0.049458585,-0.624583333,0.88875,11.0685633,0.003981532,0.055141496,-0.064086308,nan,nan,nan
5.877244867,1525313.403,-4462452.42,4279869.11,-6.038109201,-1.873405629,0.97513466,0.898317905,-0.435996026,0.024447636,-0.048318941,1.895416667,0.83875,11.0785633,0.099974641,0.03332488,-0.054268831,nan,nan,nan
5.948534667,1525312.973,-4462452.553,4279869.18,-6.303192663,-1.884589623,1.042985466,0.897729315,-0.437459634,0.024685623,-0.045845026,-1.184583333,1.74875,10.1885633,0.04216061,-0.038669951,-0.059722985,nan,nan,nan
6.020514439,1525312.519,-4462452.689,4279869.255,-6.516054859,-1.874045315,1.057244819,0.902179039,-0.428453866,0.024256762,-0.043725012,-0.444583333,1.28875,9.4785633,-0.279634471,-0.000490874,-0.057541324,nan,nan,nan
6.098660058,1525312.009,-4462452.836,4279869.338,-6.787480024,-1.913245188,0.976214979,0.899726128,-0.433870334,0.024799633,-0.040427805,-1.094583333,-0.21125,9.2285633,0.149062026,-0.056123244,-0.070631293,nan,nan,nan
6.472593965,1525309.475,-4462453.55,4279869.702,-7.919438304,-2.086163185,1.083567385,0.901140836,-0.431919921,0.01461667,-0.0343035,-0.511583333,0.90275,10.0245633,-0.011290099,0.035506542,-0.053178001,nan,nan,nan
6.550627963,1525308.856,-4462453.713,4279869.787,-8.033206591,-2.196899851,1.082226402,0.901506003,-0.431293552,0.012294316,-0.033491043,0.845416667,-0.10125,10.5785633,-0.016744253,0.045324019,-0.044451354,nan,nan,nan
6.6226649,1525308.274,-4462453.872,4279869.865,-8.233741227,-2.263938267,1.01389636,0.901111597,-0.43228717,0.01294404,-0.030953927,-0.524583333,-0.43125,9.6085633,0.02797981,-0.047396597,-0.055359662,nan,nan,nan
6.71171135,1525307.625,-4462454.051,4279869.945,-8.401779246,-2.346072449,0.946387076,0.896741719,-0.441514109,0.012516142,-0.027621145,0.145416667,-0.46125,9.7585633,0.258145105,-0.035397459,-0.08044877,nan,nan,nan
6.788921004,1525312.366,-4462452.547,4279869.359,-1.120463983,-1.001687688,0.893335616,0.883347759,-0.421561526,-0.170809578,-0.113166713,0.795416667,1.15875,9.6485633,0.106519626,-0.008126689,-0.06626797,42.416369,-71.129041,12.3
6.861217098,1525312.278,-4462452.625,4279869.428,-0.8735168,-0.872594167,0.823731846,0.880842767,-0.427128479,-0.172039004,-0.109908436,2.075416667,0.95875,9.2085633,0.170878642,-0.012490012,-0.055359662,nan,nan,nan
6.933924426,1525312.215,-4462452.688,4279869.488,-0.703037408,-0.797593503,0.787441387,0.881033558,-0.425652314,-0.174920757,-0.109556865,1.035416667,1.05875,9.5385633,-0.02765256,0.069322296,-0.049905508,nan,nan,nan
7.010490773,1525312.161,-4462452.749,4279869.548,-0.483975163,-0.804077611,0.770070165,0.894728272,-0.390677707,-0.180538913,-0.119322879,1.025416667,0.54875,10.7085633,-0.98976531,0.276580145,-0.036815539,nan,nan,nan
7.082006771,1525312.127,-4462452.807,4279869.604,-0.45412619,-0.895174259,0.652880556,0.894647696,-0.392456826,-0.179423201,-0.115717136,-1.524583333,-1.91125,9.6085633,0.059613902,-0.072485705,-0.068449632,nan,nan,nan
7.155652813,1525312.093,-4462452.873,4279869.652,-0.01638158,-0.773080019,0.593654057,0.894228714,-0.396631994,-0.17579767,-0.110151027,4.395416667,0.31875,10.4885633,0.121791257,-0.158661337,-0.074994616,nan,nan,nan
7.227186853,1525312.092,-4462452.928,4279869.694,0.171165932,-0.890342815,0.409623499,0.893956383,-0.400851917,-0.171256879,-0.104071167,0.775416667,-2.89125,10.2085633,0.125063749,-0.193567922,-0.08044877,nan,nan,nan
7.304009856,1525312.105,-4462452.996,4279869.725,0.367921609,-0.900514944,0.312322381,0.896925929,-0.39590532,-0.168768997,-0.101488338,1.055416667,-0.80125,9.9785633,-0.141098962,-0.084484844,-0.064086308,nan,nan,nan
