# t [sec],r_ecef_X,r_ecef_Y,r_ecef_Z,v_ecef_X,v_ecef_Y,v_ecef_Z,q_e2b_scalar,q_e2b_i,q_e2b_j,q_e2b_k,accel_X [m/s^2],accel_Y [m/s^2],accel_Z [m/s^2],gyro_X [rad/s],gyro_Y [rad/s],gyro_Z [rad/s],gps_lat [deg],gps_long [deg],gps_alt [m]
0.0,1526255.763603228,-4462668.476558093,4279342.867677894,0.0,0.0,0.0,0.901797015,-0.39979036,-0.066508461,-0.150021455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3866551459996117,1526255.7858897333,-4462668.541722326,4279342.792281548,-0.8341063679374365,2.438867010190369,-2.3980478389815727,0.9017989790859794,-0.3997912307310282,-0.06650322671936985,-0.15000964816541815,0.0,0.0,0.0,0.0,0.0,0.0,42.409775,-71.119046,33.6
0.47468321299948,1526255.7061360066,-4462668.308528166,4279342.562990345,-1.0580439408084348,3.0937563787014333,-3.0302561531813046,0.9017995020450656,-0.39979146257256043,-0.06650183296429617,-0.15000650430730936,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
0.55724382399967,1526255.6187482069,-4462668.053003275,4279342.312710174,-1.251475286490086,3.6594582410881356,-3.576363224149408,0.901799953772828,-0.3997916628353712,-0.06650062902594994,-0.15000378861399732,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
0.9413934409994908,1526255.138655677,-4462666.649157283,4279340.940741197,-2.1498699721273216,6.286972115978703,-6.112854774605866,0.9018020517954233,-0.39979259294402775,-0.06649503711262285,-0.14999117507637597,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
1.0262068399997588,1526254.955627458,-4462666.113918722,4279340.420326038,-2.349212321176342,6.870090579397949,-6.675762078387252,0.9018025173719083,-0.399792799346342,-0.06649379613417851,-0.14998837583265034,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
1.1094019269994533,1526254.7604269849,-4462665.543069966,4279339.865624404,-2.543764741910916,7.439220577439655,-7.225163430433598,0.9018029717692319,-0.3997930007926396,-0.06649258493046126,-0.14998564375102444,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
1.1912160659994697,1526254.5523920332,-4462664.934673337,4279339.274733863,-2.735244170345795,7.999383237587553,-7.7659060522532,0.90180341899692,-0.399793199060449,-0.06649139281538831,-0.14998295472717124,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
1.2778898939995997,1526254.3158564325,-4462664.242910993,4279338.603161916,-2.9377083227561025,8.591704193099725,-8.337689754816692,0.901803891888656,-0.39979340870580665,-0.0664901322672014,-0.14998011134047173,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
1.3600338129999727,1526254.073778027,-4462663.5349216955,4279337.91610438,-3.13062919365805,9.156128967933748,-8.88254215703735,0.9018043424984712,-0.3997936084730021,-0.06648893109122753,-0.14997740187817324,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
