t [sec],GPS_lat (deg),GPS_long (deg),GPS_alt (m),Baro1_alt (m),Baro2_alt (m),Baro3_alt (m)
9.0,42.373646865313304,-71.10940715608088,4.557753359898925,0.000103791244328022,0.000103791244328022,0.000103791244328022
9.1,,,,0.0001060832291841507,0.0001060832291841507,0.0001060832291841507
9.2,,,,0.000108400359749794,0.000108400359749794,0.000108400359749794
9.3,,,,0.00011074263602495193,0.00011074263602495193,0.00011074263602495193
9.4,,,,0.00011310912668704987,0.00011310912668704987,0.00011310912668704987
9.5,,,,0.00011550169438123703,0.00011550169438123703,0.00011550169438123703
9.6,,,,0.00011791754513978958,0.00011791754513978958,0.00011791754513978958
9.7,,,,0.00012036040425300598,0.00012036040425300598,0.00012036040425300598
9.8,,,,0.00012282934039831161,0.00012282934039831161,0.00012282934039831161
9.9,,,,0.0001253196969628334,0.0001253196969628334,0.0001253196969628334
10.0,42.373601828213694,-71.10920201191303,-4.470516582019627,0.00012783706188201904,0.00012783706188201904,0.00012783706188201904
10.1,,,,0.00013037864118814468,0.00013037864118814468,0.00013037864118814468
10.2,,,,0.00013294629752635956,0.00013294629752635956,0.00013294629752635956
10.3,,,,0.00013553909957408905,0.00013553909957408905,0.00013553909957408905
10.4,,,,0.00013815611600875854,0.00013815611600875854,0.00013815611600875854
10.5,,,,0.00014079920947551727,0.00014079920947551727,0.00014079920947551727
10.6,,,,0.0001434655860066414,0.0001434655860066414,0.0001434655860066414
10.7,,,,0.00014615990221500397,0.00014615990221500397,0.00014615990221500397
10.8,,,,0.00014887750148773193,0.00014887750148773193,0.00014887750148773193
10.9,,,,0.00015162024646997452,0.00015162024646997452,0.00015162024646997452
11.0,42.37360629471798,-71.10929034014924,-3.683453194797039,0.00015438813716173172,0.00015438813716173172,0.00015438813716173172
11.1,,,,0.00015718024224042892,0.00015718024224042892,0.00015718024224042892
11.2,,,,0.00015999842435121536,0.00015999842435121536,0.00015999842435121536
11.3,,,,0.00016284175217151642,0.00016284175217151642,0.00016284175217151642
11.4,,,,0.00016570836305618286,0.00016570836305618286,0.00016570836305618286
11.5,,,,0.00016860291361808777,0.00016860291361808777,0.00016860291361808777
11.6,,,,0.00017151981592178345,0.00017151981592178345,0.00017151981592178345
11.7,,,,0.00017446372658014297,0.00017446372658014297,0.00017446372658014297
11.8,,,,0.0001774318516254425,0.0001774318516254425,0.0001774318516254425
11.9,,,,0.00018042512238025665,0.00018042512238025665,0.00018042512238025665
12.0,42.37357416965204,-71.10904608120929,0.4985642731189728,0.0001834416761994362,0.0001834416761994362,0.0001834416761994362
12.1,,,,0.0001864861696958542,0.0001864861696958542,0.0001864861696958542
12.2,,,,0.00018955394625663757,0.00018955394625663757,0.00018955394625663757
12.3,,,,0.00019264686852693558,0.00019264686852693558,0.00019264686852693558
12.4,,,,0.00019576679915189743,0.00019576679915189743,0.00019576679915189743
12.5,,,,0.00019891094416379929,0.00019891094416379929,0.00019891094416379929
12.6,,,,0.0002020774409174919,0.0002020774409174919,0.0002020774409174919
12.7,,,,0.000205271877348423,0.000205271877348423,0.000205271877348423
12.8,,,,0.00020848959684371948,0.00020848959684371948,0.00020848959684371948
12.9,,,,0.00021173246204853058,0.00021173246204853058,0.00021173246204853058
13.0,42.37364495779401,-71.10910428319197,-2.4080229299142957,0.00021500233560800552,0.00021500233560800552,0.00021500233560800552
13.1,,,,0.00021829549223184586,0.00021829549223184586,0.00021829549223184586
13.2,,,,0.00022161472588777542,0.00022161472588777542,0.00022161472588777542
13.3,,,,0.0002249591052532196,0.0002249591052532196,0.0002249591052532196
13.4,,,,0.0002283286303281784,0.0002283286303281784,0.0002283286303281784
13.5,,,,0.0002317223697900772,0.0002317223697900772,0.0002317223697900772
13.6,,,,0.00023514032363891602,0.00023514032363891602,0.00023514032363891602
13.7,,,,0.00023858621716499329,0.00023858621716499329,0.00023858621716499329
13.8,,,,0.0002420525997877121,0.0002420525997877121,0.0002420525997877121
13.9,,,,0.000245547853410244,0.000245547853410244,0.000245547853410244
14.0,42.37362462575724,-71.10903230530745,8.506137921474874,0.00024906639009714127,0.00024906639009714127,0.00024906639009714127
14.1,,,,0.0002526110038161278,0.0002526110038161278,0.0002526110038161278
14.2,,,,0.0002561798319220543,0.0002561798319220543,0.0002561798319220543
14.3,,,,0.00025977566838264465,0.00025977566838264465,0.00025977566838264465
14.4,,,,0.0002633947879076004,0.0002633947879076004,0.0002633947879076004
14.5,,,,0.00026703905314207077,0.00026703905314207077,0.00026703905314207077
14.6,,,,0.00027070753276348114,0.00027070753276348114,0.00027070753276348114
14.7,,,,0.00027440208941698074,0.00027440208941698074,0.00027440208941698074
14.8,,,,0.0002781227231025696,0.0002781227231025696,0.0002781227231025696
14.9,,,,0.0002818675711750984,0.0002818675711750984,0.0002818675711750984
15.0,42.373684182556104,-71.1089096274644,-7.410201349295676,0.00028563663363456726,0.00028563663363456726,0.00028563663363456726
15.1,,,,0.0002894308418035507,0.0002894308418035507,0.0002894308418035507
15.2,,,,0.0002932501956820488,0.0002932501956820488,0.0002932501956820488
15.3,,,,0.0002970946952700615,0.0002970946952700615,0.0002970946952700615
15.4,,,,0.0003009652718901634,0.0003009652718901634,0.0003009652718901634
15.5,,,,0.00030485913157463074,0.00030485913157463074,0.00030485913157463074
15.6,,,,0.0003087799996137619,0.0003087799996137619,0.0003087799996137619
15.7,,,,0.00031272508203983307,0.00031272508203983307,0.00031272508203983307
15.8,,,,0.00031669531017541885,0.00031669531017541885,0.00031669531017541885
15.9,,,,0.00032068975269794464,0.00032068975269794464,0.00032068975269794464
16.0,42.37357750956646,-71.10900994320724,-4.340012198314071,0.0003247112035751343,0.0003247112035751343,0.0003247112035751343
16.1,,,,0.0003287568688392639,0.0003287568688392639,0.0003287568688392639
16.2,,,,0.00033282674849033356,0.00033282674849033356,0.00033282674849033356
16.3,,,,0.0003369217738509178,0.0003369217738509178,0.0003369217738509178
16.400000000000002,,,,0.0003410419449210167,0.0003410419449210167,0.0003410419449210167
16.5,,,,0.0003451881930232048,0.0003451881930232048,0.0003451881930232048
16.6,,,,0.0003493577241897583,0.0003493577241897583,0.0003493577241897583
16.7,,,,0.0003535514697432518,0.0003535514697432518,0.0003535514697432518
16.8,,,,0.0003577740862965584,0.0003577740862965584,0.0003577740862965584
16.900000000000002,,,,0.00036201905459165573,0.00036201905459165573,0.00036201905459165573
